IDSERVICE,NOM,ALTITUDE,ZONE,TYPE,ETAT,GESTION,OPERATEUR,METHODE,COMMENT,OFFX,OFFY,LIGNE_VIS,ICONE_VIS,OFFX_TEX,OFFY_TEX,VIS_TEX,longitude,LATITUDE
"118",PV53,708.407043457,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-210","-210",solid,oui,"-160","-40",oui,-72.247427230946485,45.328760959836757
"119",PV54,707.958740234,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-270","-30",solid,oui,"-160","-40",oui,-72.247810535378534,45.329106797161643
"120",PV37,354.115966797,Orford,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"-147","0",solid,oui,"-160","-40",oui,-72.255210258677437,45.297454521880191
"121",PV51,745.497497559,Orford,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"-171","-30",solid,oui,"-160","-40",oui,-72.243286674462738,45.321206630632446
"122",PV40,553.896484375,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-101","-84",solid,oui,"0","-150",oui,-72.249052733428627,45.300779149563489
"123",PV41,607.418334961,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"36","-116",solid,oui,"0","-150",oui,-72.246852902941143,45.301187264428933
"124",PV42,628.991149902,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"38","-119",solid,oui,"0","-150",oui,-72.243885290123089,45.302747304247305
"126",PV43,662.546936035,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"107","-90",solid,oui,"160","-40",oui,-72.242169263086694,45.304068459825274
"127",PV44,678.442687988,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"204","-82",solid,oui,"160","-40",oui,-72.242086868978490,45.305224743367845
"128",PV45,694.139465332,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"217","-30",solid,oui,"160","-40",oui,-72.241873046628598,45.305885740251995
"130",PV68,454.021728516,Orford,Point de vue,ouvert,SE,Sylvie L'Heureux,GPS,,"163","-97",solid,oui,"0","-150",oui,-72.198190481248417,45.376171527201784
"131",PV60,485.104858398,Orford,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"21","133",solid,oui,"0","60",oui,-72.238779500476028,45.346119392705845
"132",PV55,734.890930176,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-150","-210",solid,oui,"0","-150",oui,-72.249362528569861,45.334887544322278
"133",PV56,737.380065918,Orford,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"-300","-120",solid,oui,"-160","-40",oui,-72.248662777328505,45.337733334515207
"134",PV57,703.268493652,Orford,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"-300","0",solid,oui,"-160","-40",oui,-72.248900068224359,45.338545818534051
"135",PV58,644.434020996,Orford,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"-300","200",solid,oui,"-160","-40",oui,-72.249313184550473,45.339486209614954
"136",PV47,828.954101562,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"267","-70",solid,oui,"160","-40",oui,-72.239448329678993,45.312734509514812
