IDSERVICE,NOM,ALTITUDE,ZONE,TYPE,ETAT,GESTION,OPERATEUR,METHODE,COMMENT,OFFX,OFFY,LIGNE_VIS,ICONE_VIS,OFFX_TEX,OFFY_TEX,VIS_TEX,longitude,latitude
243,PV110,161.6690216,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20131016,-80,-20,solid,non,0,80,non,-72.1325683,45.58434677
242,PV109,161.0068817,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20131016,100,-100,solid,non,0,80,non,-72.1312027,45.58328247
241,PV107,161,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20131016,0,-100,solid,non,0,80,non,-72.1316604,45.58274841
240,PV108,161,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20131016,-100,0,solid,non,0,80,non,-72.1327438,45.58366776
239,PV106,161,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20131016,-140,10,solid,non,0,80,non,-72.1328506,45.58312225
248,S44 (jour),178.7666473,Sherbrooke,Parking,ouvert,SE,Gilles Turgeon,Estimé,20140102,57,429,solid,oui,0,80,oui,-71.8999944,45.44035551
22,PV25,711.2796631,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,-65,-117,solid,oui,0,-150,oui,-72.3985751,45.23019422
2,Camping Foster,568.8092041,Bolton,Camping rustique,ouvert,SE,Gilles Turgeon,Estimé,,50,100,solid,oui,0,80,non,-72.3929546,45.22713425
249,PV97,227.4742584,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS Oregon,20140928,-121,-177,solid,oui,-160,-40,oui,-72.174439,45.51266501
250,PV96,229.9851227,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS,Oregon 450 20150619,-200,-400,solid,oui,0,-150,oui,-72.17037,45.511816
253,PV126,505.591217,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,20151025,-150,-300,solid,oui,180,-40,oui,-71.758668,45.524358
252,PV125,379.3127441,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,20151025,-30,-302,solid,oui,180,-40,oui,-71.771258,45.520733
251,S45,320,Monts Stoke,Parking,ouvert,SE,Gilles Turgeon,GPS,20151025,-105,251,solid,oui,0,60,oui,-71.780267,45.520259
159,PV127,430.8386841,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,20151025,150,-210,solid,oui,180,-40,oui,-71.7435226,45.52967022
254,PV38,385.5555115,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,20151104,-140,50,solid,oui,-160,-40,oui,-72.2552964,45.29823859
255,PV39,431.2236633,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,20151104,-157,62,solid,oui,-160,-40,oui,-72.2549395,45.30084143
1,Lac Trousers,248.339325,Bolton,Téléphone,ouvert,Camping LAc Trousers,Gilles Turgeon,Estimé,,-100,-252,no,oui,0,80,non,-72.3359006,45.24850614
29,Entre Cîmes et Racines,301.8250427,Bolton,Refuge,ouvert,Entre Cîmes et Racines,Gilles Turgeon,Estimé,,150,150,solid,oui,0,80,non,-72.3049095,45.2538013
74,S07,232.3063049,Glen,Piquenique,ouvert,SE,Gilles Turgeon,Estimé,,160,-160,solid,oui,0,80,non,-72.3859099,45.16141812
104,S17,369.4909668,Orford,Téléphone,ouvert,SE,Gilles Turgeon,Estimé,,140,100,no,oui,0,80,non,-72.2214148,45.31819223
105,S18,312.5508118,Orford,Téléphone,ouvert,SE,Gilles Turgeon,Estimé,,-265,40,no,oui,0,80,non,-72.239046,45.35825257
